Group 44,,,,,
Average similarity: 56.24,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
13.7290678,0.59,1.52,#######,3.42,74.52
21.49942857,0.53,1.38,#######,3.1,77.63
20.361875,0.44,1.24,#######,2.78,80.41
12.39733333,0.44,0.98,#######,2.21,82.62
19.97269231,0.44,0.94,#######,2.1,84.72
18.71884615,0.51,0.88,#######,1.97,86.69
37.07363636,0.33,0.83,#######,1.85,88.55
21.57529412,0.3,0.82,#######,1.83,90.38
,,,,,
Group 45,,,,,
Average similarity: 44.72,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
30.80365385,2.67,5.79,#######,12.95,12.95
19.72268293,2.36,5.32,#######,11.91,24.86
19.05166667,1.35,3.03,#######,6.78,31.64
33.63655172,1.21,2.68,#######,6,37.64
21.405,1.67,2.58,#######,5.78,43.42
20.51086207,1.06,2.21,#######,4.93,48.35
9.755306122,1.01,2.16,#######,4.83,53.18
21.57529412,1.11,2.14,#######,4.79,57.97
20.361875,1.08,2.08,#######,4.66,62.63
15.45769231,1.2,1.89,#######,4.22,66.85
14.6988,0.86,1.6,#######,3.57,70.43
10.22,1.01,1.55,#######,3.48,73.9
22.98714286,0.59,1.32,#######,2.95,76.85
12.66740741,0.6,1.26,#######,2.81,79.66
28.035,0.48,0.88,#######,1.96,81.62
13.7290678,0.47,0.79,#######,1.76,83.37
20.25794118,0.33,0.73,#######,1.64,85.01
16.2865,0.41,0.63,#######,1.42,86.43
15.74219178,0.32,0.63,#######,1.41,87.85
16.20714286,0.34,0.59,#######,1.32,89.16
34.11,0.27,0.56,#######,1.25,90.42
,,,,,
Group 41,,,,,
Average similarity: 58.22,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.82,12.35,#######,21.22,21.22
19.52538462,1.98,6.3,#######,10.83,32.04
21.405,1.65,5.11,#######,8.78,40.83
21.34820513,1.62,4.93,#######,8.47,49.3
30.80365385,1.6,4.93,#######,8.47,57.77
22.76894737,0.97,2.99,#######,5.14,62.91
26.78859155,1.42,2.95,#######,5.06,67.97
19.6197619,0.79,2.56,#######,4.39,72.36
13.79738095,0.75,2.18,#######,3.74,76.11
15.74219178,0.77,2.13,#######,3.66,79.77
20.51086207,0.67,2.08,#######,3.58,83.35
17.40942623,0.7,1.95,#######,3.34,86.69
21.57529412,0.71,1.81,#######,3.11,89.8
13.7290678,0.53,1.54,#######,2.65,92.45
,,,,,
Group 46,,,,,
Average similarity: 54.01,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,1.65,3.26,#######,6.04,6.04
15.62272727,1.62,3.24,#######,5.99,12.03
20.361875,2.26,3.15,#######,5.83,17.86
26.78859155,1.43,2.84,#######,5.26,23.12
30.80365385,1.41,2.64,#######,4.88,28
21.405,1.07,1.92,#######,3.55,31.54
17.40942623,0.97,1.84,#######,3.4,34.95
15.538,0.97,1.75,#######,3.24,38.19
21.49942857,0.89,1.49,#######,2.76,40.95
20.45466667,0.94,1.46,#######,2.7,43.64
18.22411765,0.87,1.39,#######,2.58,46.22
19.86137931,0.71,1.19,#######,2.21,48.43
37.0488,0.84,1.1,#######,2.03,50.47
15.74219178,0.65,1.08,#######,2,52.46
21.21238095,0.65,1.06,#######,1.97,54.43
23.51777778,1.16,1.05,#######,1.94,56.37
14.05666667,0.6,1.03,#######,1.91,58.28
22.76894737,0.74,1.03,#######,1.9,60.18
20.25794118,0.48,0.95,#######,1.76,61.94
23.07416667,0.52,0.94,#######,1.74,63.68
24.66947368,0.52,0.94,#######,1.73,65.42
22.59444444,0.53,0.91,#######,1.69,67.11
22.98714286,0.53,0.82,#######,1.52,68.62
9.693125,0.52,0.82,#######,1.51,70.14
19.20891892,0.43,0.78,#######,1.44,71.58
29.02866667,0.41,0.78,#######,1.44,73.02
19.97269231,0.37,0.73,#######,1.35,74.37
23.2525,1.11,0.72,#######,1.34,75.71
20.51086207,0.4,0.68,#######,1.26,76.97
16.2865,0.33,0.64,#######,1.19,78.15
24.59083333,0.39,0.6,#######,1.11,79.26
9.755306122,0.41,0.59,#######,1.09,80.35
27.68736842,0.32,0.59,#######,1.08,81.44
13.79738095,0.3,0.57,#######,1.06,82.5
21.82333333,0.38,0.55,#######,1.02,83.52
15.30333333,0.27,0.54,#######,1,84.52
22.16,0.81,0.54,#######,1,85.52
14.25,0.32,0.5,#######,0.92,86.44
14.29833333,0.27,0.49,#######,0.91,87.35
13.86416667,0.55,0.45,#######,0.84,88.19
24.7775,0.24,0.45,#######,0.84,89.02
24.26,0.27,0.43,#######,0.8,89.83
24.325,0.25,0.43,#######,0.79,90.62
,,,,,
Group 9,,,,,
Average similarity: 58.16,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.46,8.7,#######,14.96,14.96
19.52538462,1.82,4.35,#######,7.47,22.43
21.49942857,1.5,3.7,#######,6.37,28.8
26.78859155,1.73,3.63,#######,6.24,35.04
21.34820513,1.36,3.24,#######,5.57,40.61
21.405,1.31,3.18,#######,5.47,46.08
9.693125,1.31,3.06,#######,5.27,51.35
30.80365385,1.27,3.04,#######,5.22,56.57
13.79738095,1.06,2.63,#######,4.52,61.08
10.75428571,1,2.17,#######,3.73,64.81
16.71571429,1.37,2.08,#######,3.57,68.39
13.35666667,0.9,2.05,#######,3.53,71.91
15.74219178,0.92,1.84,#######,3.16,75.07
11.04931818,1.15,1.75,#######,3.02,78.09
13.26172414,0.73,1.71,#######,2.93,81.02
19.6197619,0.91,1.67,#######,2.86,83.88
22.76894737,0.69,1.66,#######,2.86,86.74
15.45769231,1.05,1.5,#######,2.58,89.32
17.40942623,0.73,1.49,#######,2.56,91.88
,,,,,
Group 26,,,,,
Average similarity: 66.78,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.82,15.67,#######,23.46,23.46
26.78859155,2.93,10.47,#######,15.67,39.13
19.52538462,1.88,7.72,#######,11.57,50.7
21.405,1.53,6.16,#######,9.22,59.92
21.34820513,1.52,5.86,#######,8.77,68.69
30.80365385,1.21,4.34,#######,6.5,75.19
9.755306122,1.08,3.42,#######,5.12,80.31
22.76894737,0.83,3.35,#######,5.01,85.32
13.7290678,0.7,2.89,#######,4.33,89.65
14.6988,0.77,2.59,#######,3.88,93.53
,,,,,
Group 27,,,,,
Average similarity: 61.23,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.88,12.67,#######,20.69,20.69
19.52538462,2.04,6.51,#######,10.63,31.32
21.34820513,1.55,4.55,#######,7.43,38.75
21.405,1.55,4.44,#######,7.24,45.99
33.63655172,1.34,4.02,#######,6.56,52.55
19.6197619,0.98,3.15,#######,5.14,57.69
15.74219178,1.22,3.13,#######,5.12,62.81
17.40942623,1.35,3.12,#######,5.1,67.91
21.49942857,0.95,2.97,#######,4.85,72.75
30.80365385,0.91,2.87,#######,4.68,77.44
22.76894737,0.89,2.49,#######,4.07,81.51
13.79738095,0.8,1.93,#######,3.14,84.65
21.57529412,0.55,1.83,#######,2.99,87.64
14.6988,0.51,1.66,#######,2.71,90.36
,,,,,
Group 43,,,,,
Average similarity: 61.33,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,4.05,14.59,#######,23.79,23.79
19.72268293,2,7.27,#######,11.85,35.64
30.80365385,1.72,5.49,#######,8.96,44.6
19.52538462,1.24,4.21,#######,6.87,51.47
13.7290678,1.12,4.16,#######,6.79,58.26
9.755306122,1.08,3.06,#######,4.98,63.24
21.34820513,0.87,2.78,#######,4.53,67.77
17.40942623,0.93,2.32,#######,3.79,71.56
14.6988,0.81,2.14,#######,3.49,75.05
20.51086207,0.72,1.96,#######,3.2,78.25
13.18133333,0.75,1.88,#######,3.07,81.32
13.26172414,0.55,1.8,#######,2.94,84.26
19.6197619,0.68,1.77,#######,2.89,87.15
15.45769231,0.55,1.69,#######,2.75,89.9
29.02866667,0.91,1.68,#######,2.75,92.65
,,,,,
Group 3,,,,,
Average similarity: 35.48,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
19.72268293,2.93,8.19,#######,23.08,23.08
19.52538462,2.32,6.95,#######,19.59,42.67
26.78859155,2.57,6.85,#######,19.3,61.97
15.45769231,1.51,5.07,#######,14.29,76.26
21.34820513,1.49,4.29,#######,12.1,88.36
11.04931818,1.56,4.13,#######,11.64,100
,,,,,
Group 19,,,,,
Average similarity: 44.28,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.27,6.52,#######,14.72,14.72
15.45769231,1.92,3.66,#######,8.27,22.99
19.72268293,1.72,3.53,#######,7.98,30.97
21.57529412,1.01,2.25,#######,5.07,36.05
20.51086207,1.13,2.21,#######,5,41.05
20.8027027,1.15,2.21,#######,4.99,46.04
19.20891892,0.98,2.04,#######,4.6,50.64
30.80365385,1.25,2.03,#######,4.59,55.23
19.66514286,0.89,1.87,#######,4.23,59.46
22.7275,0.82,1.78,#######,4.02,63.48
17.40942623,0.86,1.68,#######,3.78,67.26
27.68736842,0.65,1.47,#######,3.33,70.59
12.39733333,0.62,1.46,#######,3.3,73.89
20.361875,0.72,1.33,#######,3,76.89
13.7290678,0.66,1.28,#######,2.89,79.78
22.76894737,0.65,1.25,#######,2.83,82.6
18.22411765,0.65,1.1,#######,2.49,85.09
16.2865,0.66,1.1,#######,2.48,87.58
19.97269231,0.5,0.99,#######,2.24,89.82
19.86137931,0.49,0.95,#######,2.15,91.97
,,,,,
Group 4,,,,,
Average similarity: 57.31,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.72,16.5,#######,28.8,28.8
19.72268293,3.21,13.98,#######,24.4,53.2
8.904761905,1.78,7.49,#######,13.07,66.27
19.52538462,1.74,7.13,#######,12.44,78.71
21.34820513,1.32,5.05,#######,8.82,87.53
21.405,1.2,4.5,#######,7.85,95.37
,,,,,
Group 2,,,,,
Average similarity: 22.75,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%, Cum.%
19.72268293,3.36,10.03,#######,44.11,44.11
21.405,1.77,4.92,#######,21.62,65.73
21.34820513,1.68,4.58,#######,20.12,85.85
22.76894737,1.46,3.22,#######,14.15,100
,,,,,
Group 28,,,,,
Average similarity: 53.09,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.85,12.4,#######,23.36,23.36
19.52538462,2.01,6.38,#######,12.02,35.39
21.34820513,1.71,5.51,#######,10.38,45.77
21.405,1.74,5.47,#######,10.31,56.08
22.76894737,1.23,3.85,#######,7.24,63.33
38.5183871,1.48,3.62,#######,6.81,70.14
19.6197619,0.97,2.22,#######,4.18,74.32
21.12214286,0.87,2.19,#######,4.13,78.44
30.80365385,0.66,1.99,#######,3.75,82.19
21.57529412,0.84,1.75,#######,3.3,85.49
9.755306122,0.73,1.54,#######,2.9,88.39
26.78859155,1.41,1.54,#######,2.9,91.29
,,,,,
Group 5,,,,,
Average similarity: 68.76,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.43,11.76,#######,17.11,17.11
26.78859155,3.25,10.65,#######,15.49,32.59
19.52538462,1.99,6.51,#######,9.46,42.06
21.34820513,1.66,5.3,#######,7.71,49.77
21.405,1.62,5.25,#######,7.64,57.41
30.80365385,1.59,4.86,#######,7.06,64.47
19.6197619,1.01,3.57,#######,5.19,69.66
22.76894737,0.98,3.03,#######,4.4,74.06
13.7290678,0.79,2.73,#######,3.98,78.04
21.49942857,0.75,2.4,#######,3.5,81.53
37.00818182,1.12,2.39,#######,3.47,85
21.12214286,0.69,2.38,#######,3.46,88.46
10.471875,0.64,2.24,#######,3.25,91.72
,,,,,
Group 40,,,,,
Average similarity: 45.21,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.48,10.55,#######,23.34,23.34
20.361875,2.81,8.98,#######,19.87,43.22
19.52538462,1.57,4.4,#######,9.73,52.95
21.405,1.33,3.81,#######,8.43,61.37
21.34820513,1.2,3.48,#######,7.69,69.07
30.80365385,1.17,3.16,#######,6.98,76.05
22.76894737,0.74,2.54,#######,5.63,81.68
18.71884615,0.41,1.37,#######,3.04,84.72
19.6197619,0.46,1.25,#######,2.76,87.47
21.12214286,0.58,1.22,#######,2.69,90.16
,,,,,
Group 15,,,,,
Average similarity: 46.37,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,3.71,14.67,#######,31.64,31.64
26.78859155,2.44,9.95,#######,21.46,53.1
19.52538462,1.97,8.15,#######,17.58,70.68
21.34820513,1.58,5.52,#######,11.9,82.58
21.405,1.48,5.18,#######,11.17,93.75
,,,,,
Group 37,,,,,
Average similarity: 70.44,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
19.72268293,4.05,15.45,#######,21.94,21.94
19.52538462,2.1,8.01,#######,11.37,33.31
21.405,1.76,6.78,#######,9.62,42.93
21.34820513,1.7,6.56,#######,9.31,52.23
9.755306122,1.17,3.7,#######,5.25,57.48
30.80365385,1.37,3.57,#######,5.06,62.55
22.76894737,0.98,3.48,#######,4.93,67.48
19.6197619,0.9,2.82,#######,4,71.48
26.78859155,1.28,2.36,#######,3.35,74.82
33.63655172,0.8,2.06,#######,2.92,77.74
21.57529412,0.52,1.99,#######,2.83,80.57
21.12214286,0.69,1.9,#######,2.7,83.28
15.45769231,0.51,1.84,#######,2.61,85.89
21.21238095,0.5,1.82,#######,2.58,88.47
18.71884615,0.44,1.56,#######,2.22,90.69
,,,,,
Group 47,,,,,
Average similarity: 50.90,,,,,
,,,,,
Species,Av.Abund,Av.Sim, Sim/SD,Contrib%,Cum.%
26.78859155,3.08,9.53,#######,18.72,18.72
19.72268293,2.33,6.9,#######,13.55,32.28
13.79738095,2.62,6.34,#######,12.45,44.73
17.40942623,2.08,5.14,#######,10.1,54.83
15.74219178,2.27,4.91,#######,9.65,64.48
13.7290678,1.45,4.63,#######,9.1,73.58
30.80365385,1.52,4.33,#######,8.51,82.09
20.25794118,1.34,4.13,#######,8.11,90.2
