Group 44
Average similarity: 56.24

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
22.5507692307692	    0.37	  0.84	#######	    1.47	86.81
20.4546666666667	    0.36	  0.77	#######	    1.35	88.16
23.0741666666667	    0.31	  0.76	#######	    1.32	89.49
14.0566666666667	    0.28	  0.70	#######	    1.21	90.70

Group 7
Average similarity: 38.02

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    3.00	  9.42	#######	   24.77	24.77
19.7226829268293	    2.53	  7.42	#######	   19.52	44.29
16.3974358974359	    1.91	  6.06	#######	   15.95	60.24
9.75530612244898	    1.67	  5.01	#######	   13.19	73.43
15.7421917808219	    1.11	  3.89	#######	   10.23	83.66
17.6253333333333	    1.10	  3.57	#######	    9.39	93.05

Group 6
Average similarity: 33.15

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
26.7885915492958	    2.60	  6.18	#######	   18.63	18.63
15.4576923076923	    2.03	  3.59	#######	   10.83	29.46
19.7226829268293	    1.60	  3.57	#######	   10.76	40.22
15.7421917808219	    1.71	  3.55	#######	   10.69	50.92
17.4094262295082	    1.80	  2.85	#######	    8.61	59.52
9.75530612244898	    1.51	  2.32	#######	    7.00	66.53
16.2865	    0.90	  2.20	#######	    6.62	73.15
19.6651428571429	    0.89	  2.13	#######	    6.43	79.58
13.797380952381	    1.10	  2.10	#######	    6.34	85.92
22.5507692307692	    0.87	  1.88	#######	    5.66	91.58

Group 23
Average similarity: 62.92

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.6227272727273	    2.50	  4.47	#######	    7.10	 7.10
15.4576923076923	    1.79	  3.42	#######	    5.43	12.53
19.7226829268293	    1.78	  3.38	#######	    5.38	17.91
15.538	    1.79	  3.19	#######	    5.06	22.97
18.295	    1.71	  2.80	#######	    4.44	27.41
17.325	    1.42	  2.59	#######	    4.11	31.53
17.4094262295082	    1.53	  2.45	#######	    3.89	35.42
26.7885915492958	    1.34	  2.09	#######	    3.32	38.74
21.4994285714286	    1.31	  1.94	#######	    3.09	41.83
11.8472727272727	    1.11	  1.81	#######	    2.88	44.71
19.2089189189189	    0.93	  1.77	#######	    2.81	47.52
20.8027027027027	    0.92	  1.75	#######	    2.79	50.31
19.6651428571429	    1.01	  1.72	#######	    2.74	53.05
20.5108620689655	    0.82	  1.62	#######	    2.57	55.62
23.216	    1.25	  1.51	#######	    2.40	58.02
10.471875	    0.82	  1.47	#######	    2.33	60.35
16.2865	    0.91	  1.41	#######	    2.24	62.60
13.1813333333333	    0.74	  1.38	#######	    2.20	64.80
14.0566666666667	    0.68	  1.35	#######	    2.15	66.94
12.3973333333333	    0.69	  1.34	#######	    2.14	69.08
23.0741666666667	    0.72	  1.33	#######	    2.11	71.19
19.9726923076923	    0.64	  1.24	#######	    1.98	73.17
15.7421917808219	    0.72	  1.20	#######	    1.90	75.07
22.768947368421	    0.80	  1.05	#######	    1.67	76.74
9.915	    0.63	  1.03	#######	    1.63	78.37
14.6440909090909	    0.56	  0.93	#######	    1.48	79.85
21.2123809523809	    0.47	  0.89	#######	    1.41	81.26
21.8233333333333	    0.44	  0.86	#######	    1.37	82.64
10.7542857142857	    0.53	  0.78	#######	    1.24	83.87
14.5246153846154	    0.54	  0.77	#######	    1.22	85.09
12.7916666666667	    0.46	  0.76	#######	    1.21	86.31
20.2579411764706	    0.40	  0.74	#######	    1.18	87.49
12.6674074074074	    0.57	  0.74	#######	    1.18	88.66
24.6694736842105	    0.54	  0.73	#######	    1.17	89.83
24.72	    0.42	  0.70	#######	    1.11	90.94

Group 39
Average similarity: 58.55

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.30	  4.26	#######	    7.28	 7.28
37.5636363636364	    1.77	  3.76	#######	    6.42	13.70
38.5183870967742	    1.74	  3.65	#######	    6.23	19.93
33.6365517241379	    1.66	  3.42	#######	    5.85	25.78
19.7226829268293	    1.81	  3.16	#######	    5.40	31.18
20.5108620689655	    1.26	  2.75	#######	    4.70	35.89
16.3974358974359	    1.68	  2.54	#######	    4.33	40.22
21.5752941176471	    0.99	  2.05	#######	    3.49	43.72
26.7885915492958	    2.14	  1.98	#######	    3.39	47.10
37.0488	    0.89	  1.89	#######	    3.24	50.34
8.47375	    1.43	  1.89	#######	    3.23	53.57
19.6197619047619	    1.06	  1.80	#######	    3.07	56.64
30.8036538461538	    0.90	  1.73	#######	    2.95	59.59
20.361875	    0.83	  1.71	#######	    2.93	62.52
19.2089189189189	    0.87	  1.67	#######	    2.85	65.37
19.6651428571429	    0.91	  1.51	#######	    2.58	67.95
15.538	    1.13	  1.36	#######	    2.33	70.28
19.8613793103448	    0.66	  1.24	#######	    2.12	72.40
20.8027027027027	    0.68	  1.19	#######	    2.03	74.43
14.6988	    0.60	  1.08	#######	    1.84	76.27
20.8413333333333	    0.65	  1.06	#######	    1.81	78.08
17.6253333333333	    0.71	  1.00	#######	    1.71	79.79
15.2082352941176	    0.58	  0.98	#######	    1.67	81.47
16.2865	    0.57	  0.96	#######	    1.63	83.10
17.4094262295082	    0.66	  0.93	#######	    1.59	84.69
17.9564705882353	    0.57	  0.84	#######	    1.44	86.13
9.75530612244898	    0.40	  0.79	#######	    1.34	87.47
19.0516666666667	    0.55	  0.76	#######	    1.30	88.78
9.7	    0.53	  0.75	#######	    1.29	90.07

Group 30
Average similarity: 51.49

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.76	  6.58	#######	   12.78	12.78
19.7226829268293	    2.55	  4.78	#######	    9.29	22.07
16.3974358974359	    1.78	  4.52	#######	    8.78	30.85
30.8036538461538	    1.39	  3.46	#######	    6.71	37.56
37.0488	    1.26	  2.86	#######	    5.56	43.12
21.5752941176471	    1.46	  2.70	#######	    5.24	48.37
20.5108620689655	    1.01	  2.40	#######	    4.67	53.04
17.4094262295082	    0.91	  2.25	#######	    4.37	57.41
19.6197619047619	    0.99	  2.08	#######	    4.05	61.46
19.6651428571429	    0.86	  1.96	#######	    3.81	65.27
17.6253333333333	    0.77	  1.90	#######	    3.70	68.96
14.6988	    0.80	  1.88	#######	    3.65	72.61
16.2865	    0.74	  1.86	#######	    3.61	76.22
17.9564705882353	    0.70	  1.72	#######	    3.34	79.56
15.7421917808219	    0.70	  1.63	#######	    3.17	82.73
13.8641666666667	    0.82	  1.62	#######	    3.15	85.88
15.2082352941176	    0.72	  1.54	#######	    3.00	88.88
19.2089189189189	    0.75	  1.33	#######	    2.57	91.45

Group 48
Average similarity: 44.58

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
26.7885915492958	    3.41	  8.07	#######	   18.11	18.11
19.7226829268293	    2.48	  6.69	#######	   15.02	33.13
30.8036538461538	    1.75	  3.38	#######	    7.58	40.71
21.3482051282051	    1.10	  3.11	#######	    6.99	47.70
21.405	    1.03	  2.94	#######	    6.58	54.29
22.768947368421	    0.94	  2.68	#######	    6.01	60.29
17.4094262295082	    0.84	  1.64	#######	    3.68	63.97
19.8613793103448	    0.70	  1.63	#######	    3.66	67.63
21.2123809523809	    0.55	  1.55	#######	    3.48	71.11
13.7290677966102	    0.59	  1.52	#######	    3.42	74.52
21.4994285714286	    0.53	  1.38	#######	    3.10	77.63
20.361875	    0.44	  1.24	#######	    2.78	80.41
12.3973333333333	    0.44	  0.98	#######	    2.21	82.62
19.9726923076923	    0.44	  0.94	#######	    2.10	84.72
18.7188461538462	    0.51	  0.88	#######	    1.97	86.69
37.0736363636364	    0.33	  0.83	#######	    1.85	88.55
21.5752941176471	    0.30	  0.82	#######	    1.83	90.38

Group 45
Average similarity: 44.72

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
30.8036538461538	    2.67	  5.79	#######	   12.95	12.95
19.7226829268293	    2.36	  5.32	#######	   11.91	24.86
19.0516666666667	    1.35	  3.03	#######	    6.78	31.64
33.6365517241379	    1.21	  2.68	#######	    6.00	37.64
21.405	    1.67	  2.58	#######	    5.78	43.42
20.5108620689655	    1.06	  2.21	#######	    4.93	48.35
9.75530612244898	    1.01	  2.16	#######	    4.83	53.18
21.5752941176471	    1.11	  2.14	#######	    4.79	57.97
20.361875	    1.08	  2.08	#######	    4.66	62.63
15.4576923076923	    1.20	  1.89	#######	    4.22	66.85
14.6988	    0.86	  1.60	#######	    3.57	70.43
10.22	    1.01	  1.55	#######	    3.48	73.90
22.9871428571429	    0.59	  1.32	#######	    2.95	76.85
12.6674074074074	    0.60	  1.26	#######	    2.81	79.66
28.035	    0.48	  0.88	#######	    1.96	81.62
13.7290677966102	    0.47	  0.79	#######	    1.76	83.37
20.2579411764706	    0.33	  0.73	#######	    1.64	85.01
16.2865	    0.41	  0.63	#######	    1.42	86.43
15.7421917808219	    0.32	  0.63	#######	    1.41	87.85
16.2071428571429	    0.34	  0.59	#######	    1.32	89.16
34.11	    0.27	  0.56	#######	    1.25	90.42

Group 41
Average similarity: 58.22

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    3.82	 12.35	#######	   21.22	21.22
19.5253846153846	    1.98	  6.30	#######	   10.83	32.04
21.405	    1.65	  5.11	#######	    8.78	40.83
21.3482051282051	    1.62	  4.93	#######	    8.47	49.30
30.8036538461538	    1.60	  4.93	#######	    8.47	57.77
22.768947368421	    0.97	  2.99	#######	    5.14	62.91
26.7885915492958	    1.42	  2.95	#######	    5.06	67.97
19.6197619047619	    0.79	  2.56	#######	    4.39	72.36
13.797380952381	    0.75	  2.18	#######	    3.74	76.11
15.7421917808219	    0.77	  2.13	#######	    3.66	79.77
20.5108620689655	    0.67	  2.08	#######	    3.58	83.35
17.4094262295082	    0.70	  1.95	#######	    3.34	86.69
21.5752941176471	    0.71	  1.81	#######	    3.11	89.80
13.7290677966102	    0.53	  1.54	#######	    2.65	92.45

Group 25
Average similarity: 58.08

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    3.06	  9.24	#######	   15.90	15.90
26.7885915492958	    2.60	  8.23	#######	   14.17	30.08
19.7226829268293	    2.36	  7.56	#######	   13.02	43.09
16.3974358974359	    2.08	  6.43	#######	   11.08	54.17
38.5183870967742	    1.60	  4.00	#######	    6.89	61.06
14.6988	    1.31	  3.79	#######	    6.52	67.58
20.5108620689655	    1.22	  3.59	#######	    6.18	73.76
17.6253333333333	    1.10	  3.46	#######	    5.95	79.71
13.7290677966102	    1.27	  3.33	#######	    5.73	85.44
37.5636363636364	    1.47	  3.14	#######	    5.40	90.84

Group 12
Average similarity: 49.02

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.89	  6.63	#######	   13.53	13.53
26.7885915492958	    2.23	  5.38	#######	   10.98	24.51
19.7226829268293	    2.08	  4.85	#######	    9.89	34.40
38.5183870967742	    2.01	  4.30	#######	    8.78	43.18
16.3974358974359	    1.79	  4.15	#######	    8.47	51.65
9.75530612244898	    1.55	  3.82	#######	    7.80	59.45
20.5108620689655	    1.09	  2.45	#######	    5.01	64.45
15.7421917808219	    1.04	  2.25	#######	    4.59	69.05
17.4094262295082	    0.94	  2.15	#######	    4.39	73.43
19.6651428571429	    0.95	  2.04	#######	    4.16	77.59
14.6988	    0.79	  1.94	#######	    3.97	81.56
13.7290677966102	    0.96	  1.90	#######	    3.88	85.43
22.5507692307692	    0.88	  1.73	#######	    3.52	88.96
19.6197619047619	    0.97	  1.67	#######	    3.41	92.36

Group 46
Average similarity: 54.01

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    1.65	  3.26	#######	    6.04	 6.04
15.6227272727273	    1.62	  3.24	#######	    5.99	12.03
20.361875	    2.26	  3.15	#######	    5.83	17.86
26.7885915492958	    1.43	  2.84	#######	    5.26	23.12
30.8036538461538	    1.41	  2.64	#######	    4.88	28.00
21.405	    1.07	  1.92	#######	    3.55	31.54
17.4094262295082	    0.97	  1.84	#######	    3.40	34.95
15.538	    0.97	  1.75	#######	    3.24	38.19
21.4994285714286	    0.89	  1.49	#######	    2.76	40.95
20.4546666666667	    0.94	  1.46	#######	    2.70	43.64
18.2241176470588	    0.87	  1.39	#######	    2.58	46.22
19.8613793103448	    0.71	  1.19	#######	    2.21	48.43
37.0488	    0.84	  1.10	#######	    2.03	50.47
15.7421917808219	    0.65	  1.08	#######	    2.00	52.46
21.2123809523809	    0.65	  1.06	#######	    1.97	54.43
23.5177777777778	    1.16	  1.05	#######	    1.94	56.37
14.0566666666667	    0.60	  1.03	#######	    1.91	58.28
22.768947368421	    0.74	  1.03	#######	    1.90	60.18
20.2579411764706	    0.48	  0.95	#######	    1.76	61.94
23.0741666666667	    0.52	  0.94	#######	    1.74	63.68
24.6694736842105	    0.52	  0.94	#######	    1.73	65.42
22.5944444444445	    0.53	  0.91	#######	    1.69	67.11
22.9871428571429	    0.53	  0.82	#######	    1.52	68.62
9.693125	    0.52	  0.82	#######	    1.51	70.14
19.2089189189189	    0.43	  0.78	#######	    1.44	71.58
29.0286666666667	    0.41	  0.78	#######	    1.44	73.02
19.9726923076923	    0.37	  0.73	#######	    1.35	74.37
23.2525	    1.11	  0.72	#######	    1.34	75.71
20.5108620689655	    0.40	  0.68	#######	    1.26	76.97
16.2865	    0.33	  0.64	#######	    1.19	78.15
24.5908333333333	    0.39	  0.60	#######	    1.11	79.26
9.75530612244898	    0.41	  0.59	#######	    1.09	80.35
27.6873684210526	    0.32	  0.59	#######	    1.08	81.44
13.797380952381	    0.30	  0.57	#######	    1.06	82.50
21.8233333333333	    0.38	  0.55	#######	    1.02	83.52
15.3033333333333	    0.27	  0.54	#######	    1.00	84.52
22.16	    0.81	  0.54	#######	    1.00	85.52
14.25	    0.32	  0.50	#######	    0.92	86.44
14.2983333333333	    0.27	  0.49	#######	    0.91	87.35
13.8641666666667	    0.55	  0.45	#######	    0.84	88.19
24.7775	    0.24	  0.45	#######	    0.84	89.02
24.26	    0.27	  0.43	#######	    0.80	89.83
24.325	    0.25	  0.43	#######	    0.79	90.62

Group 10
Average similarity: 46.29

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
26.7885915492958	    3.31	  8.76	#######	   18.92	18.92
33.6365517241379	    2.29	  6.15	#######	   13.28	32.19
15.4576923076923	    2.28	  6.09	#######	   13.16	45.35
38.5183870967742	    2.23	  5.90	#######	   12.76	58.11
19.7226829268293	    1.46	  4.17	#######	    9.00	67.11
16.3974358974359	    1.25	  3.88	#######	    8.39	75.50
20.5108620689655	    1.13	  2.55	#######	    5.51	81.01
14.6988	    0.83	  2.51	#######	    5.42	86.42
22.5507692307692	    0.91	  2.50	#######	    5.40	91.83

Group 9
Average similarity: 58.16

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    3.46	  8.70	#######	   14.96	14.96
19.5253846153846	    1.82	  4.35	#######	    7.47	22.43
21.4994285714286	    1.50	  3.70	#######	    6.37	28.80
26.7885915492958	    1.73	  3.63	#######	    6.24	35.04
21.3482051282051	    1.36	  3.24	#######	    5.57	40.61
21.405	    1.31	  3.18	#######	    5.47	46.08
9.693125	    1.31	  3.06	#######	    5.27	51.35
30.8036538461538	    1.27	  3.04	#######	    5.22	56.57
13.797380952381	    1.06	  2.63	#######	    4.52	61.08
10.7542857142857	    1.00	  2.17	#######	    3.73	64.81
16.7157142857143	    1.37	  2.08	#######	    3.57	68.39
13.3566666666667	    0.90	  2.05	#######	    3.53	71.91
15.7421917808219	    0.92	  1.84	#######	    3.16	75.07
11.0493181818182	    1.15	  1.75	#######	    3.02	78.09
13.261724137931	    0.73	  1.71	#######	    2.93	81.02
19.6197619047619	    0.91	  1.67	#######	    2.86	83.88
22.768947368421	    0.69	  1.66	#######	    2.86	86.74
15.4576923076923	    1.05	  1.50	#######	    2.58	89.32
17.4094262295082	    0.73	  1.49	#######	    2.56	91.88

Group 35
Average similarity: 65.07

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.81	  6.31	#######	    9.70	 9.70
26.7885915492958	    2.57	  5.15	#######	    7.92	17.62
16.3974358974359	    2.11	  4.77	#######	    7.33	24.95
19.7226829268293	    1.89	  4.17	#######	    6.41	31.36
8.90476190476191	    1.68	  3.55	#######	    5.46	36.81
17.4094262295082	    1.56	  2.84	#######	    4.36	41.17
13.797380952381	    1.48	  2.76	#######	    4.25	45.42
9.75530612244898	    1.11	  2.65	#######	    4.08	49.50
19.5253846153846	    1.24	  2.59	#######	    3.97	53.47
15.7421917808219	    1.44	  2.52	#######	    3.87	57.35
19.6651428571429	    0.97	  2.44	#######	    3.75	61.10
13.7290677966102	    0.96	  2.42	#######	    3.72	64.82
14.6988	    1.01	  2.33	#######	    3.58	68.40
16.7157142857143	    0.92	  2.19	#######	    3.37	71.77
17.6253333333333	    0.99	  2.05	#######	    3.16	74.93
12.6674074074074	    0.90	  1.99	#######	    3.05	77.98
33.6365517241379	    0.98	  1.99	#######	    3.05	81.03
16.2865	    0.88	  1.98	#######	    3.04	84.07
21.5752941176471	    0.83	  1.96	#######	    3.01	87.09
20.8027027027027	    0.76	  1.95	#######	    2.99	90.08

Group 18
Average similarity: 56.86

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.85	  8.43	#######	   14.83	14.83
19.7226829268293	    2.47	  7.65	#######	   13.46	28.30
16.3974358974359	    2.36	  7.02	#######	   12.34	40.63
26.7885915492958	    2.28	  6.99	#######	   12.30	52.94
13.797380952381	    1.86	  5.56	#######	    9.78	62.72
15.7421917808219	    1.88	  5.06	#######	    8.90	71.61
19.6651428571429	    1.56	  4.54	#######	    7.99	79.60
17.4094262295082	    1.68	  4.37	#######	    7.68	87.28
20.5108620689655	    1.37	  4.23	#######	    7.43	94.72

Group 26
Average similarity: 66.78

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    3.82	 15.67	#######	   23.46	23.46
26.7885915492958	    2.93	 10.47	#######	   15.67	39.13
19.5253846153846	    1.88	  7.72	#######	   11.57	50.70
21.405	    1.53	  6.16	#######	    9.22	59.92
21.3482051282051	    1.52	  5.86	#######	    8.77	68.69
30.8036538461538	    1.21	  4.34	#######	    6.50	75.19
9.75530612244898	    1.08	  3.42	#######	    5.12	80.31
22.768947368421	    0.83	  3.35	#######	    5.01	85.32
13.7290677966102	    0.70	  2.89	#######	    4.33	89.65
14.6988	    0.77	  2.59	#######	    3.88	93.53

Group 31
Average similarity: 64.97

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    3.16	  6.93	#######	   10.67	10.67
16.3974358974359	    2.04	  4.26	#######	    6.56	17.23
19.7226829268293	    1.72	  3.58	#######	    5.51	22.74
30.8036538461538	    1.12	  2.42	#######	    3.72	26.46
14.6988	    1.10	  2.42	#######	    3.72	30.18
16.2865	    1.30	  2.38	#######	    3.66	33.84
9.75530612244898	    0.96	  2.06	#######	    3.18	37.02
15.2082352941176	    1.12	  2.03	#######	    3.13	40.15
20.8027027027027	    1.05	  1.99	#######	    3.06	43.21
8.51615384615385	    0.96	  1.95	#######	    3.01	46.21
15.7421917808219	    1.01	  1.93	#######	    2.97	49.18
17.4094262295082	    1.00	  1.90	#######	    2.92	52.10
26.7885915492958	    1.00	  1.87	#######	    2.87	54.98
16.7157142857143	    0.88	  1.83	#######	    2.81	57.79
13.797380952381	    0.79	  1.74	#######	    2.68	60.47
13.261724137931	    0.89	  1.72	#######	    2.65	63.12
20.5108620689655	    0.86	  1.70	#######	    2.62	65.74
19.2089189189189	    0.87	  1.69	#######	    2.61	68.35
19.6651428571429	    0.78	  1.65	#######	    2.53	70.88
13.7290677966102	    0.76	  1.52	#######	    2.35	73.23
12.6674074074074	    0.68	  1.45	#######	    2.23	75.46
19.6197619047619	    0.75	  1.43	#######	    2.20	77.66
13.8641666666667	    0.81	  1.42	#######	    2.19	79.85
15.11	    0.70	  1.40	#######	    2.15	82.00
16.9747058823529	    0.69	  1.39	#######	    2.14	84.14
15.375625	    0.67	  1.33	#######	    2.04	86.18
17.9564705882353	    0.67	  1.20	#######	    1.85	88.03
37.0488	    0.85	  1.06	#######	    1.64	89.67
22.5944444444445	    0.52	  1.05	#######	    1.61	91.28

Group 24
Average similarity: 55.44

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
15.4576923076923	    2.33	  4.86	#######	    8.77	 8.77
19.7226829268293	    2.11	  4.68	#######	    8.45	17.22
26.7885915492958	    2.67	  4.11	#######	    7.41	24.63
20.8027027027027	    1.33	  2.88	#######	    5.19	29.82
8.06111111111111	    1.68	  2.71	#######	    4.88	34.70
20.5108620689655	    1.18	  2.58	#######	    4.66	39.35
19.2089189189189	    1.17	  2.58	#######	    4.65	44.00
19.6651428571429	    1.05	  2.29	#######	    4.14	48.14
21.1221428571429	    1.09	  2.25	#######	    4.06	52.19
12.3973333333333	    0.82	  1.81	#######	    3.27	55.46
30.8036538461538	    1.04	  1.81	#######	    3.26	58.73
16.2865	    0.86	  1.71	#######	    3.09	61.82
22.7275	    0.86	  1.69	#######	    3.06	64.87
18.2241176470588	    0.77	  1.60	#######	    2.88	67.76
19.9726923076923	    0.72	  1.56	#######	    2.81	70.56
15.7421917808219	    1.15	  1.41	#######	    2.54	73.10
22.768947368421	    0.72	  1.41	#######	    2.54	75.64
21.4994285714286	    0.99	  1.39	#######	    2.51	78.15
13.7290677966102	    0.65	  1.36	#######	    2.45	80.61
12.6674074074074	    0.62	  1.31	#######	    2.36	82.96
19.8613793103448	    0.69	  1.27	#######	    2.29	85.26
27.6873684210526	    0.83	  1.20	#######	    2.16	87.42
13.797380952381	    1.07	  1.15	#######	    2.08	89.50
20.568	    0.51	  1.11	#######	    2.01	91.51

Group 27
Average similarity: 61.23

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
19.7226829268293	    3.88	 12.67	#######	   20.69	20.69
19.5253846153846	    2.04	  6.51	#######	   10.63	31.32
21.3482051282051	    1.55	  4.55	#######	    7.43	38.75
21.405	    1.55	  4.44	#######	    7.24	45.99
33.6365517241379	    1.34	  4.02	#######	    6.56	52.55
19.6197619047619	    0.98	  3.15	#######	    5.14	57.69
15.7421917808219	    1.22	  3.13	#######	    5.12	62.81
17.4094262295082	    1.35	  3.12	#######	    5.10	67.91
21.4994285714286	    0.95	  2.97	#######	    4.85	72.75
30.8036538461538	    0.91	  2.87	#######	    4.68	77.44
22.768947368421	    0.89	  2.49	#######	    4.07	81.51
13.797380952381	    0.80	  1.93	#######	    3.14	84.65
21.5752941176471	    0.55	  1.83	#######	    2.99	87.64
14.6988	    0.51	  1.66	#######	    2.71	90.36

Group 43
Average similarity: 61.33

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
26.7885915492958	    4.05	 14.59	#######	   23.79	23.79
19.7226829268293	    2.00	  7.27	#######	   11.85	35.64
30.8036538461538	    1.72	  5.49	#######	    8.96	44.60
19.5253846153846	    1.24	  4.21	#######	    6.87	51.47
13.7290677966102	    1.12	  4.16	#######	    6.79	58.26
9.75530612244898	    1.08	  3.06	#######	    4.98	63.24
21.3482051282051	    0.87	  2.78	#######	    4.53	67.77
17.4094262295082	    0.93	  2.32	#######	    3.79	71.56
14.6988	    0.81	  2.14	#######	    3.49	75.05
20.5108620689655	    0.72	  1.96	#######	    3.20	78.25
13.1813333333333	    0.75	  1.88	#######	    3.07	81.32
13.261724137931	    0.55	  1.80	#######	    2.94	84.26
19.6197619047619	    0.68	  1.77	#######	    2.89	87.15
15.4576923076923	    0.55	  1.69	#######	    2.75	89.90
29.0286666666667	    0.91	  1.68	#######	    2.75	92.65

Group 3
Average similarity: 35.48

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	 Cum.%
19.7226829268293	    2.93	  8.19	#######	   23.08	 23.08
19.5253846153846	    2.32	  6.95	#######	   19.59	 42.67
26.7885915492958	    2.57	  6.85	#######	   19.30	 61.97
15.4576923076923	    1.51	  5.07	#######	   14.29	 76.26
21.3482051282051	    1.49	  4.29	#######	   12.10	 88.36
11.0493181818182	    1.56	  4.13	#######	   11.64	100.00

Group 8
Average similarity: 45.50

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	 Cum.%
15.4576923076923	    2.94	 13.33	#######	   29.31	 29.31
19.7226829268293	    3.06	 12.53	#######	   27.54	 56.85
8.90476190476191	    2.61	 10.66	#######	   23.43	 80.28
16.3974358974359	    2.24	  8.97	#######	   19.72	100.00

Group 20
Average similarity: 65.73

Species	Av.Abund	Av.Sim	 Sim/SD	Contrib%	Cum.%
